iter	MAE
0	6963.141566
1	6922.739368
2	6882.842942
3	6843.670945
4	6805.192369
5	6767.364218
6	6730.024752
7	6693.185577
8	6658.902777
9	6624.252443
10	6590.088742
11	6556.91422
12	6530.964951
13	6498.311512
14	6469.585974
15	6441.458195
16	6415.457225
17	6381.46727
18	6356.519051
19	6322.978628
20	6292.072679
21	6268.442429
22	6243.551506
23	6216.701402
24	6192.235281
25	6173.505214
26	6142.338213
27	6111.940634
28	6085.770412
29	6060.149975
30	6040.330846
31	6015.167208
32	5994.229435
33	5966.546488
34	5945.206992
35	5925.558936
36	5902.637221
37	5880.628652
38	5862.97971
39	5843.437403
40	5824.076144
41	5802.676498
42	5776.309484
43	5753.410167
44	5730.08757
45	5712.247905
46	5695.465106
47	5678.212084
48	5660.429988
49	5646.904496
50	5622.497151
51	5604.376786
52	5587.684863
53	5570.690787
54	5554.066437
55	5532.12137
56	5513.349027
57	5497.753046
58	5474.994974
59	5459.695052
60	5446.252316
61	5430.960383
62	5415.784415
63	5401.023401
64	5380.490505
65	5365.572702
66	5350.543577
67	5335.890879
68	5316.100821
69	5295.305483
70	5275.160103
71	5260.767059
72	5246.369572
73	5226.601519
74	5213.804176
75	5199.08794
76	5179.786668
77	5161.974179
78	5149.450598
79	5139.787016
80	5121.181968
81	5108.540293
82	5091.091852
83	5077.676466
84	5059.538623
85	5046.743474
86	5034.16814
87	5017.505617
88	5004.767297
89	4996.316895
90	4983.95486
91	4975.81182
92	4960.102553
93	4947.40028
94	4936.366748
95	4925.877352
96	4910.02069
97	4898.430596
98	4881.394377
99	4869.458936
100	4857.746853
101	4846.883988
102	4838.901163
103	4829.515531
104	4816.14219
105	4802.045797
106	4790.757823
107	4781.322703
108	4771.27961
109	4762.671141
110	4751.28061
111	4737.832348
112	4731.011416
113	4719.403354
114	4704.200824
115	4689.425378
116	4675.114203
117	4661.158747
118	4648.954804
119	4640.064196
120	4630.94374
121	4618.567073
122	4609.180006
123	4595.097053
124	4583.96694
125	4574.603761
126	4565.094093
127	4558.338535
128	4544.436716
129	4538.50037
130	4525.335548
131	4514.292589
132	4503.506641
133	4491.208089
134	4478.851699
135	4467.091654
136	4456.549802
137	4443.678119
138	4435.635011
139	4425.184256
140	4412.770882
141	4399.365783
142	4392.030065
143	4381.898758
144	4371.884182
145	4363.034206
146	4351.428044
147	4339.523681
148	4328.110433
149	4317.823419
150	4308.065464
151	4300.989927
152	4289.264888
153	4279.344518
154	4268.387065
155	4264.70653
156	4253.200595
157	4247.863552
158	4236.49809
159	4227.843119
160	4223.042431
161	4214.619081
162	4204.492496
163	4194.338871
164	4183.692946
165	4173.85103
166	4169.547957
167	4159.238786
168	4149.236588
169	4138.959324
170	4128.09476
171	4120.769644
172	4113.575989
173	4103.362118
174	4092.558983
175	4082.351493
176	4073.384015
177	4067.247718
178	4060.385443
179	4049.912019
180	4043.109625
181	4032.209936
182	4022.611269
183	4013.625448
184	4004.167213
185	3999.393359
186	3991.011913
187	3980.798362
188	3971.192523
189	3962.624367
190	3951.32337
191	3941.253981
192	3936.70713
193	3927.920017
194	3922.709472
195	3913.447649
196	3904.280402
197	3895.218165
198	3886.991128
199	3877.51297
200	3868.820583
201	3860.21512
202	3851.599242
203	3843.32651
204	3834.179366
205	3828.486412
206	3823.671241
207	3814.830698
208	3804.630575
209	3796.315653
210	3789.905737
211	3785.091491
212	3778.166737
213	3771.397087
214	3763.729313
215	3755.463779
216	3747.663806
217	3741.593801
218	3733.731006
219	3728.371576
220	3721.073964
221	3713.229634
222	3696.697414
223	3674.304198
224	3667.532737
225	3660.487335
226	3653.304206
227	3646.272592
228	3630.415476
229	3623.586352
230	3605.610667
231	3599.147372
232	3586.313477
233	3579.937862
234	3567.963292
235	3563.080516
236	3539.591158
237	3528.091752
238	3506.850068
239	3500.556463
240	3494.166318
241	3478.047765
242	3471.488566
243	3458.10299
244	3436.577699
245	3430.264537
246	3411.045547
247	3404.568514
248	3382.253578
249	3375.616539
250	3357.687332
251	3351.411689
252	3332.536997
253	3327.001245
254	3321.901393
255	3300.731602
256	3281.792573
257	3275.65525
258	3269.823029
259	3263.710498
260	3242.543374
261	3236.379518
262	3230.716605
263	3224.975491
264	3219.291788
265	3213.303476
266	3207.453244
267	3203.753579
268	3198.454573
269	3193.004159
270	3187.386266
271	3172.539847
272	3154.374485
273	3149.498927
274	3144.430504
275	3139.412766
276	3134.156946
277	3129.405778
278	3110.645365
279	3105.680766
280	3100.675261
281	3095.552381
282	3091.250243
283	3088.024764
284	3083.350637
285	3078.80774
286	3059.412024
287	3041.372777
288	3036.798807
289	3018.785061
290	3014.313935
291	3010.007942
292	2994.016369
293	2989.195863
294	2984.568948
295	2980.425856
296	2976.267589
297	2972.638856
298	2968.558459
299	2959.077872
300	2957.323984
301	2952.969216
302	2936.633418
303	2932.572626
304	2912.640114
305	2909.112395
306	2905.276891
307	2889.283277
308	2869.732426
309	2865.740633
310	2849.483357
311	2845.898794
312	2842.198009
313	2826.562843
314	2822.648795
315	2819.076872
316	2801.184802
317	2784.797188
318	2768.645264
319	2765.03336
320	2763.377344
321	2745.864441
322	2732.199925
323	2717.703148
324	2704.316344
325	2702.725143
326	2699.707434
327	2696.440344
328	2692.940053
329	2682.8534
330	2670.616119
331	2668.056735
332	2664.800758
333	2649.745288
334	2646.783844
335	2631.878738
336	2617.122682
337	2601.097247
338	2585.709608
339	2571.395536
340	2568.184658
341	2555.661288
342	2552.518821
343	2549.343918
344	2546.930544
345	2544.38816
346	2532.737506
347	2517.395908
348	2515.314976
349	2512.303652
350	2509.472213
351	2506.539588
352	2503.632178
353	2500.751959
354	2491.498719
355	2477.33177
356	2463.710152
357	2461.490561
358	2459.293167
359	2445.807262
360	2443.134132
361	2440.558794
362	2437.809666
363	2434.930367
364	2422.805448
365	2420.31808
366	2418.258975
367	2404.753847
368	2392.498309
369	2390.466677
370	2387.981662
371	2385.80899
372	2372.617199
373	2370.05029
374	2367.66792
375	2365.237283
376	2362.833524
377	2360.434022
378	2358.218141
379	2348.962915
380	2347.733832
381	2345.239978
382	2342.922086
383	2340.697099
384	2330.821283
385	2328.494976
386	2326.703439
387	2315.815028
388	2307.464238
389	2298.95548
390	2297.184614
391	2294.906299
392	2293.049804
393	2290.911894
394	2279.004736
395	2268.68097
396	2266.641194
397	2264.944855
398	2256.076924
399	2254.397978
400	2252.220896
401	2250.153198
402	2239.827033
403	2238.284081
404	2236.438258
405	2227.220508
406	2218.096103
407	2206.53915
408	2204.63286
409	2195.175223
410	2193.218714
411	2191.33418
412	2189.536264
413	2187.771892
414	2186.346855
415	2184.401488
416	2182.661082
417	2180.863926
418	2168.688531
419	2167.02271
420	2165.31421
421	2163.8764
422	2151.827288
423	2150.163283
424	2142.306438
425	2141.006531
426	2130.911867
427	2129.551968
428	2128.412036
429	2127.283504
430	2118.331981
431	2107.576993
432	2098.652271
433	2097.230228
434	2095.924391
435	2087.183563
436	2076.654941
437	2075.199265
438	2073.730895
439	2072.196888
440	2070.856104
441	2069.676331
442	2059.465472
443	2058.157708
444	2057.116093
445	2055.812819
446	2054.444708
447	2053.201544
448	2045.708088
449	2044.327916
450	2043.232271
451	2041.91451
452	2040.649991
453	2039.552902
454	2038.471359
455	2037.57908
456	2036.380111
457	2028.501484
458	2027.255895
459	2025.745071
460	2024.75052
461	2023.547445
462	2022.774845
463	2015.437463
464	2014.548784
465	2013.511133
466	2012.353694
467	2011.37394
468	2010.239422
469	2009.158154
470	2008.045503
471	2006.978495
472	1999.200193
473	1991.455745
474	1990.43729
475	1984.254307
476	1978.058784
477	1977.37575
478	1976.396603
479	1969.130626
480	1967.932664
481	1966.885201
482	1966.066445
483	1959.098066
484	1958.457395
485	1957.526619
486	1956.546461
487	1955.711425
488	1948.81939
489	1942.736532
490	1937.162808
491	1928.908876
492	1927.883609
493	1926.941523
494	1925.963065
495	1919.286142
496	1918.317906
497	1917.386785
498	1916.55897
499	1909.042886
500	1908.277672
501	1900.548745
502	1899.269848
503	1898.439502
504	1893.507438
505	1886.944798
506	1877.772376
507	1877.2081
508	1876.401065
509	1875.650929
510	1874.782253
511	1874.24474
512	1866.948073
513	1866.171716
514	1865.327407
515	1864.491541
516	1863.687417
517	1862.964182
518	1862.338819
519	1861.845843
520	1861.18895
521	1860.430962
522	1859.472191
523	1858.699188
524	1850.153432
525	1849.581462
526	1848.894492
527	1848.269591
528	1847.742719
529	1847.126859
530	1837.265809
531	1830.29939
532	1829.136421
533	1828.478583
534	1818.780572
535	1810.12101
536	1809.463885
537	1800.32772
538	1795.622607
539	1794.97661
540	1786.171633
541	1785.562234
542	1776.50972
543	1767.553282
544	1763.110263
545	1754.243637
546	1753.726092
547	1744.947982
548	1744.377391
549	1743.812506
550	1738.269179
551	1730.428892
552	1729.979841
553	1729.456566
554	1721.676262
555	1720.65632
556	1720.106562
557	1712.793061
558	1712.301495
559	1711.606018
560	1704.69858
561	1699.956397
562	1699.419283
563	1699.154448
564	1698.784676
565	1689.969035
566	1689.463506
567	1688.963031
568	1688.467561
569	1688.219674
570	1681.82936
571	1681.584217
572	1681.072011
573	1678.653705
574	1675.353199
575	1671.164883
576	1666.432969
577	1665.938716
578	1657.435242
579	1651.307072
580	1650.831004
581	1650.460982
582	1649.996879
583	1649.523933
584	1648.894724
585	1648.24834
586	1647.825104
587	1647.613422
588	1639.701864
589	1639.320089
590	1634.65694
591	1633.760414
592	1627.296651
593	1626.85925
594	1626.433165
595	1625.816669
596	1625.024105
597	1616.885897
598	1609.97365
599	1601.987043
600	1601.227672
601	1600.743569
602	1597.211953
603	1593.602139
604	1590.593986
605	1589.108373
606	1588.740483
607	1588.282091
608	1588.007172
609	1587.685132
610	1584.139971
611	1581.281975
612	1574.675389
613	1573.309672
614	1572.947309
615	1569.706539
616	1563.196694
617	1556.751947
618	1553.207587
619	1549.858816
620	1549.508973
621	1549.219974
622	1546.665992
623	1543.380395
624	1538.868719
625	1538.525967
626	1531.989759
627	1526.166021
628	1525.826832
629	1525.479882
630	1525.20284
631	1518.352844
632	1511.194965
633	1510.895314
634	1510.862831
635	1503.776552
636	1497.596304
637	1496.928419
638	1491.11626
639	1486.1662
640	1484.411891
641	1483.07352
642	1482.007759
643	1481.721147
644	1479.154885
645	1478.837189
646	1477.091389
647	1475.144638
648	1474.853494
649	1473.54707
650	1472.926163
651	1472.635773
652	1468.220206
653	1466.955786
654	1465.610143
655	1464.352138
656	1464.061576
657	1463.443109
658	1462.204691
659	1462.006208
660	1461.867418
661	1457.275651
662	1453.204611
663	1451.907068
664	1449.974743
665	1449.727286
666	1449.598283
667	1444.463709
668	1443.251845
669	1443.014613
670	1442.747269
671	1442.485303
672	1441.342168
673	1440.852061
674	1439.113461
675	1436.999777
676	1436.630232
677	1431.188038
678	1431.058492
679	1430.610072
680	1428.410158
681	1426.232244
682	1422.227675
683	1421.126822
684	1417.52271
685	1413.954639
686	1411.798504
687	1411.325061
688	1410.300851
689	1409.296905
690	1403.818734
691	1398.395344
692	1394.517152
693	1393.371273
694	1392.317263
695	1388.260454
696	1386.273391
697	1384.559037
698	1383.515567
699	1379.280662
700	1378.24604
701	1374.538292
702	1373.514016
703	1368.330538
704	1363.198896
705	1361.285067
706	1356.221864
707	1354.720546
708	1353.627026
709	1349.738762
710	1349.675322
711	1348.058955
712	1343.12599
713	1342.961805
714	1338.078145
715	1337.07943
716	1332.244588
717	1328.255733
718	1326.816868
719	1324.899579
720	1323.916017
721	1319.470039
722	1314.793651
723	1310.973313
724	1307.19118
725	1304.378152
726	1301.285645
727	1298.385416
728	1295.514189
729	1292.671675
730	1291.698288
731	1290.70528
732	1289.815333
733	1285.40027
734	1281.029358
735	1276.956614
736	1273.415765
737	1270.06282
738	1267.296693
739	1263.837377
740	1260.304956
741	1260.219441
742	1256.722247
743	1255.695638
744	1254.679914
745	1251.217181
746	1250.787155
747	1247.358402
748	1246.536226
749	1243.143007
750	1243.067344
751	1239.965317
752	1238.9681
753	1237.981094
754	1237.073953
755	1234.002623
756	1230.708932
757	1227.699885
758	1226.731677
759	1226.45674
