iter	Passed	Remaining
0	130	651347
1	130	326320
2	130	217877
3	131	163627
4	131	131102
5	131	109416
6	131	93921
7	131	82292
8	132	73242
9	132	66007
10	132	60094
11	132	55152
12	132	50986
13	133	47402
14	133	44288
15	133	41576
16	133	39171
17	133	37044
18	134	35142
19	134	33424
20	134	31867
21	134	30451
22	134	29172
23	135	27997
24	135	26909
25	135	25904
26	135	24970
27	135	24102
28	135	23298
29	136	22544
30	136	21841
31	136	21178
32	136	20558
33	136	19978
34	136	19428
35	137	18911
36	137	18420
37	137	17953
38	137	17509
39	137	17090
40	138	16705
41	138	16328
42	138	15966
43	138	15622
44	138	15294
45	139	14978
46	139	14678
47	139	14388
48	139	14111
49	139	13846
50	140	13588
51	140	13341
52	140	13103
53	140	12874
54	140	12655
55	140	12442
56	141	12238
57	141	12044
58	141	11856
59	141	11672
60	141	11493
61	142	11319
62	142	11151
63	142	10987
64	142	10829
65	142	10676
66	142	10527
67	143	10383
68	143	10243
69	143	10106
70	143	9974
71	143	9845
72	144	9720
73	144	9601
74	144	9487
75	144	9373
76	144	9262
77	145	9153
78	145	9047
79	145	8943
80	145	8843
81	145	8745
82	146	8649
83	146	8556
84	146	8465
85	146	8374
86	146	8286
87	146	8200
88	147	8117
89	147	8034
90	147	7953
91	147	7873
92	147	7798
93	147	7723
94	148	7650
95	148	7577
96	148	7506
97	148	7437
98	148	7368
99	149	7301
100	149	7236
101	149	7176
102	149	7117
103	149	7058
104	150	6998
105	150	6941
106	150	6884
107	150	6829
108	150	6774
109	151	6718
110	151	6664
111	151	6611
112	151	6558
113	151	6508
114	152	6458
115	152	6409
116	152	6360
117	152	6311
118	152	6263
119	152	6216
120	153	6171
121	153	6127
122	153	6083
123	153	6040
124	153	5997
125	153	5954
126	154	5913
127	154	5872
128	154	5833
129	154	5794
130	154	5755
131	155	5716
132	155	5679
133	155	5643
134	155	5607
135	155	5572
136	155	5537
137	156	5502
138	156	5468
139	156	5434
140	156	5400
141	156	5367
142	157	5334
143	157	5302
144	157	5270
145	157	5238
146	157	5207
147	157	5178
148	158	5147
149	158	5117
150	158	5087
151	158	5058
152	158	5029
153	158	5000
154	159	4972
155	159	4945
156	159	4918
157	159	4891
158	159	4865
159	160	4841
160	160	4816
161	160	4792
162	160	4767
163	160	4744
164	161	4719
165	161	4695
166	161	4672
167	161	4649
168	161	4625
169	161	4601
170	162	4579
171	162	4556
172	162	4533
173	162	4511
174	162	4489
175	163	4467
176	163	4446
177	163	4425
178	163	4405
179	163	4385
180	163	4364
181	164	4344
182	164	4324
183	164	4304
184	164	4284
185	164	4265
186	165	4246
187	165	4228
