dt,Цена на арматуру,Индекс стоимости грузоперевозок,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",year,month,day,quarter
2015-01-05,32900.0,1000.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,1,5,1
2015-01-12,32500.0,1000.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,1,12,1
2015-01-19,32000.0,1000.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,1,19,1
2015-01-26,30700.0,1000.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,1,26,1
2015-02-02,30300.0,1000.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,2,2,1
2015-02-09,30300.0,1000.0,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,2,9,1
2015-02-16,30100.0,1000.0,3850.0,206.0,12271.0,10432.0,12852.0,63.0,285.5,3700.0,70.0,221.0,213.0,308.0,248.0,3300.0,11746.0,51.0,4500.0,6900.0,12088.0,4300.0,278.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11794.0,4700.0,243.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,2,16,1
2015-02-23,29400.0,1000.0,3850.0,207.0,12645.0,11981.0,13034.0,64.0,285.5,3700.0,72.0,215.0,208.0,295.0,248.0,3300.0,11930.0,53.0,4500.0,6900.0,12503.0,4300.0,265.0,1325.0,2275.0,21250.0,103.0,3450.0,249.5,12047.0,4700.0,241.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,2,23,1
2015-03-02,29200.0,1000.0,3850.0,214.0,12696.0,11912.0,12910.0,63.0,285.5,3700.0,72.0,224.0,215.0,295.0,248.0,3300.0,12100.0,53.0,4500.0,6900.0,12439.0,4300.0,265.0,1325.0,2275.0,21250.0,103.0,3450.0,249.5,12253.0,4700.0,249.0,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,3,2,1
2015-03-09,29000.0,1000.0,4400.0,232.0,12916.0,12061.0,12964.0,61.0,285.5,4050.0,70.0,229.0,221.0,275.0,248.0,3750.0,11774.0,51.0,4700.0,8750.0,12020.0,4100.0,265.0,1345.0,2425.0,15250.0,103.0,3500.0,249.5,12183.0,4700.0,257.0,4164.0,3525.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,2015,3,9,1
