dt,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Жирные,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Агломерат,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Концентрат коксующегося угля_Отощающие,Экспорт сырья Лом_Лом коррозионностойкой стали,Экспорт сырья Лом_Лом стальной,Экспорт сырья Лом_Лом чугуна,Экспорт сырья Металлизованная продукция_Всего отгружено с предприятия,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Всего отгружено с предприятия,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие
2016-03-31,527,208,191,5127,376,9063,631,3691,2307,2448,2000,272,243,266,342,3886,1815,931,3803,102,5543,1636,4250,3666,383,2141,593,301,430,141,142,1569,1635,49,407,2,45,384,301,3217,594,2006,384,301,3667,594,2142,39,416,1689,1454,49,450,136,0,16,,,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,97,68,50
2016-04-30,563,231,216,4776,343,8850,608,3450,2297,2314,2078,279,229,248,347,3759,1887,1176,3653,78,5527,1795,4227,3763,371,2226,599,323,447,151,160,1577,1616,33,451,1,42,371,323,3313,599,2032,371,323,3763,599,2226,23,465,1688,1467,33,450,194,0,23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,79,55
2016-05-31,614,263,235,5107,420,9013,626,3849,2481,2720,2326,301,243,266,394,3948,1983,1296,3974,36,5954,1942,4626,3784,371,2332,714,370,493,165,163,1581,1714,54,419,2,48,371,369,3336,714,2152,371,369,3786,714,2330,24,430,1815,1480,54,450,178,0,33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100,71
2016-06-30,659,242,237,4809,400,9275,613,3688,2372,2343,2306,295,234,259,357,3412,1851,1319,3867,104,5929,1960,4253,3506,336,2336,710,384,530,164,176,1428,1703,72,488,4,42,337,386,3140,709,2195,337,386,3508,709,2335,35,495,1620,1511,72,368,140,19,38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,78,61
2016-07-31,703,249,238,5147,420,9587,518,4032,2255,2407,2363,317,240,269,403,3722,1951,1345,3871,141,6040,2029,4369,3592,439,2566,590,381,562,159,190,1431,1644,49,526,2,47,439,382,3216,590,2358,439,382,3595,590,2564,41,534,1591,1484,49,379,206,0,51,,,,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,90,48
2016-08-31,671,257,245,4819,436,9130,596,3874,2289,2350,2289,294,232,257,378,3557,1753,1069,3655,142,5770,1973,4195,3511,415,2496,578,411,583,165,173,1482,1619,57,437,2,28,416,413,3174,578,2289,416,413,3510,578,2493,38,445,1643,1458,57,336,204,0,70,,,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,91,71
2016-09-30,642,243,305,5221,399,8874,650,3765,2415,2512,2262,298,160,216,369,3594,2027,1206,4061,121,6091,1909,4477,3729,452,2359,652,398,553,175,195,1528,1595,66,477,2,55,452,398,3292,651,2161,452,398,3728,651,2358,21,488,1686,1430,66,436,197,0,37,,,,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,68,113
2016-10-31,646,230,265,5186,377,9220,593,4062,2497,2561,2354,327,203,226,396,3411,2074,1465,3797,131,5856,1930,4366,3773,430,2388,508,363,546,168,201,1447,1621,49,497,4,32,432,364,3428,508,2201,432,364,3775,508,2387,22,509,1605,1463,49,347,186,0,34,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,62,64
2016-11-30,641,251,245,4933,348,9141,582,3889,2386,2602,2423,290,235,254,368,3744,2232,1309,3704,108,5690,1878,4024,3530,351,2148,659,348,526,168,183,1522,1610,43,409,1,36,352,349,3241,658,1960,352,349,3529,658,2146,42,420,1699,1433,43,288,186,0,68,,,,0,0,19,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,83,61
2016-12-31,669,245,240,4856,323,9198,617,3980,2333,2728,2630,288,261,261,338,3582,2343,1565,3792,149,5949,2008,4227,3631,378,2359,585,334,570,172,187,1619,1684,55,445,3,101,379,333,3296,585,2268,379,333,3631,585,2359,26,459,1786,1517,55,335,91,0,34,,,,0,0,9,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,73,56
2017-01-31,644,226,235,4978,321,9006,583,3882,2334,2567,2396,303,236,251,372,3438,2138,1379,3944,110,5917,1862,4319,3773,406,2174,515,302,548,162,179,1431,1611,50,479,2,79,407,301,3396,514,2024,407,301,3771,514,2175,32,493,1607,1435,50,375,151,0,51,,,,0,0,63,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,96,65,56
2017-02-28,616,243,224,5193,366,9185,638,4111,2437,2673,2429,287,240,262,367,3632,2131,1416,4193,104,6222,1926,4465,3823,408,2418,649,311,475,160,158,1628,1670,38,526,2,50,408,311,3379,650,2224,408,311,3824,650,2419,42,535,1817,1482,38,445,195,0,46,,,,0,0,55,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,83,67
2017-03-31,531,213,212,4954,278,9357,605,4403,2215,2721,2474,387,215,263,499,3549,2163,1306,4084,152,6090,1855,4445,3723,399,2330,613,255,439,160,166,1492,1689,46,468,1,43,399,255,3348,613,2079,399,255,3723,613,2329,109,478,1643,1539,46,375,250,0,56,32.0,1.0,5.0,0,0,90,70,33,0,0,10,117,0,0,0,0,0,0,0,0,0,92,53,46
2017-04-30,524,210,237,4545,355,8339,570,3848,2149,2356,2126,301,221,237,354,2911,2005,1416,3575,132,5542,1834,3977,3323,370,1962,568,293,422,138,179,1323,1549,64,417,1,40,370,293,2999,568,1759,370,293,3325,568,1959,80,427,1499,1374,64,326,200,0,69,23.0,1.0,13.0,0,0,114,16,0,0,0,0,112,0,0,0,0,0,0,0,0,0,102,71,58
2017-05-31,648,240,249,5325,425,9445,650,4249,2442,2436,2620,306,255,255,346,3318,2416,1440,4082,160,6330,2087,4543,3782,411,2275,657,368,526,154,177,1442,1804,60,465,2,36,411,368,3332,656,2124,411,368,3782,656,2274,67,479,1641,1606,60,450,150,0,106,15.0,1.0,11.0,0,0,115,76,0,0,0,0,108,0,0,0,0,0,0,0,0,0,121,86,72
2017-06-30,653,234,233,5286,436,9252,614,4103,2361,2222,2404,216,374,253,233,3311,2129,1315,4065,152,6125,1907,4392,3719,376,2316,610,421,514,171,183,1392,1475,53,477,4,44,376,419,3270,610,2163,376,419,3720,610,2313,123,487,1527,1340,53,450,150,0,53,23.0,2.0,10.0,0,0,101,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,140,63,50
2017-07-31,717,255,259,5071,436,9568,636,4552,2374,2431,2529,287,399,260,346,3642,2079,1415,3825,160,5928,1941,4300,3802,401,2589,557,435,605,185,195,1470,1716,55,397,2,38,401,435,3351,558,2434,401,435,3828,531,2589,98,407,1656,1531,55,450,155,0,75,16.0,3.0,11.0,0,0,154,131,0,0,0,4,115,0,0,0,0,0,0,0,0,0,114,72,65
2017-08-31,685,250,261,4764,483,9272,427,4613,2254,2460,2350,240,401,189,256,3470,2130,1367,3563,146,5664,1955,4088,3329,370,2506,474,451,578,160,183,1335,1678,66,402,2,51,371,450,2886,474,2306,371,450,3358,447,2506,109,411,1528,1485,66,445,200,0,80,34.0,2.0,11.0,0,0,215,289,0,0,0,28,69,0,0,0,0,0,0,0,0,11,108,91,80
