,dt,Цена на арматуру,year,month,day,week,lag_1,lag_2
2,2015-01-19,32000,2015,1,19,4,32500.0,32900.0
3,2015-01-26,30700,2015,1,26,5,32000.0,32500.0
4,2015-02-02,30300,2015,2,2,6,30700.0,32000.0
5,2015-02-09,30300,2015,2,9,7,30300.0,30700.0
6,2015-02-16,30100,2015,2,16,8,30300.0,30300.0
7,2015-02-23,29400,2015,2,23,9,30100.0,30300.0
8,2015-03-02,29200,2015,3,2,10,29400.0,30100.0
9,2015-03-09,29000,2015,3,9,11,29200.0,29400.0
10,2015-03-16,28700,2015,3,16,12,29000.0,29200.0
11,2015-03-23,27800,2015,3,23,13,28700.0,29000.0
12,2015-03-30,27200,2015,3,30,14,27800.0,28700.0
13,2015-04-06,26600,2015,4,6,15,27200.0,27800.0
14,2015-04-13,25700,2015,4,13,16,26600.0,27200.0
15,2015-04-20,24800,2015,4,20,17,25700.0,26600.0
16,2015-04-27,24700,2015,4,27,18,24800.0,25700.0
17,2015-05-04,24300,2015,5,4,19,24700.0,24800.0
18,2015-05-11,23900,2015,5,11,20,24300.0,24700.0
19,2015-05-18,24000,2015,5,18,21,23900.0,24300.0
20,2015-05-25,23700,2015,5,25,22,24000.0,23900.0
21,2015-06-01,23500,2015,6,1,23,23700.0,24000.0
22,2015-06-08,23800,2015,6,8,24,23500.0,23700.0
23,2015-06-15,24400,2015,6,15,25,23800.0,23500.0
24,2015-06-22,25000,2015,6,22,26,24400.0,23800.0
25,2015-06-29,25300,2015,6,29,27,25000.0,24400.0
26,2015-07-06,25500,2015,7,6,28,25300.0,25000.0
27,2015-07-13,25500,2015,7,13,29,25500.0,25300.0
28,2015-07-20,25400,2015,7,20,30,25500.0,25500.0
29,2015-07-27,25200,2015,7,27,31,25400.0,25500.0
30,2015-08-03,25000,2015,8,3,32,25200.0,25400.0
31,2015-08-10,24700,2015,8,10,33,25000.0,25200.0
32,2015-08-17,24400,2015,8,17,34,24700.0,25000.0
33,2015-08-24,24100,2015,8,24,35,24400.0,24700.0
34,2015-08-31,24100,2015,8,31,36,24100.0,24400.0
35,2015-09-07,23900,2015,9,7,37,24100.0,24100.0
36,2015-09-14,24200,2015,9,14,38,23900.0,24100.0
37,2015-09-21,24200,2015,9,21,39,24200.0,23900.0
38,2015-09-28,24000,2015,9,28,40,24200.0,24200.0
39,2015-10-05,24000,2015,10,5,41,24000.0,24200.0
40,2015-10-12,23800,2015,10,12,42,24000.0,24000.0
41,2015-10-19,23800,2015,10,19,43,23800.0,24000.0
42,2015-10-26,24200,2015,10,26,44,23800.0,23800.0
43,2015-11-02,24500,2015,11,2,45,24200.0,23800.0
44,2015-11-09,24500,2015,11,9,46,24500.0,24200.0
45,2015-11-16,23950,2015,11,16,47,24500.0,24500.0
46,2015-11-23,23750,2015,11,23,48,23950.0,24500.0
47,2015-11-30,23100,2015,11,30,49,23750.0,23950.0
48,2015-12-07,22800,2015,12,7,50,23100.0,23750.0
49,2015-12-14,22000,2015,12,14,51,22800.0,23100.0
50,2015-12-21,21700,2015,12,21,52,22000.0,22800.0
51,2015-12-28,21300,2015,12,28,53,21700.0,22000.0
52,2016-01-04,21300,2016,1,4,1,21300.0,21700.0
53,2016-01-11,21300,2016,1,11,2,21300.0,21300.0
54,2016-01-18,21200,2016,1,18,3,21300.0,21300.0
55,2016-01-25,21000,2016,1,25,4,21200.0,21300.0
56,2016-02-01,21000,2016,2,1,5,21000.0,21200.0
57,2016-02-08,21000,2016,2,8,6,21000.0,21000.0
58,2016-02-15,21200,2016,2,15,7,21000.0,21000.0
59,2016-02-22,21800,2016,2,22,8,21200.0,21000.0
60,2016-02-29,22450,2016,2,29,9,21800.0,21200.0
61,2016-03-07,23300,2016,3,7,10,22450.0,21800.0
62,2016-03-14,23800,2016,3,14,11,23300.0,22450.0
63,2016-03-21,25500,2016,3,21,12,23800.0,23300.0
64,2016-03-28,26700,2016,3,28,13,25500.0,23800.0
65,2016-04-04,29900,2016,4,4,14,26700.0,25500.0
66,2016-04-11,29950,2016,4,11,15,29900.0,26700.0
67,2016-04-18,31500,2016,4,18,16,29950.0,29900.0
68,2016-04-25,31900,2016,4,25,17,31500.0,29950.0
69,2016-05-02,40300,2016,5,2,18,31900.0,31500.0
70,2016-05-09,43500,2016,5,9,19,40300.0,31900.0
71,2016-05-16,43350,2016,5,16,20,43500.0,40300.0
72,2016-05-23,42950,2016,5,23,21,43350.0,43500.0
73,2016-05-30,42000,2016,5,30,22,42950.0,43350.0
74,2016-06-06,38300,2016,6,6,23,42000.0,42950.0
75,2016-06-13,37500,2016,6,13,24,38300.0,42000.0
76,2016-06-20,36800,2016,6,20,25,37500.0,38300.0
77,2016-06-27,35400,2016,6,27,26,36800.0,37500.0
78,2016-07-04,34400,2016,7,4,27,35400.0,36800.0
79,2016-07-11,33400,2016,7,11,28,34400.0,35400.0
80,2016-07-18,32500,2016,7,18,29,33400.0,34400.0
81,2016-07-25,32000,2016,7,25,30,32500.0,33400.0
82,2016-08-01,31000,2016,8,1,31,32000.0,32500.0
83,2016-08-08,30200,2016,8,8,32,31000.0,32000.0
84,2016-08-15,29200,2016,8,15,33,30200.0,31000.0
85,2016-08-22,28850,2016,8,22,34,29200.0,30200.0
86,2016-08-29,28700,2016,8,29,35,28850.0,29200.0
87,2016-09-05,28500,2016,9,5,36,28700.0,28850.0
88,2016-09-12,30000,2016,9,12,37,28500.0,28700.0
89,2016-09-19,32000,2016,9,19,38,30000.0,28500.0
90,2016-09-26,32500,2016,9,26,39,32000.0,30000.0
91,2016-10-03,33300,2016,10,3,40,32500.0,32000.0
92,2016-10-10,34300,2016,10,10,41,33300.0,32500.0
93,2016-10-17,33700,2016,10,17,42,34300.0,33300.0
94,2016-10-24,32200,2016,10,24,43,33700.0,34300.0
95,2016-10-31,30400,2016,10,31,44,32200.0,33700.0
96,2016-11-07,30200,2016,11,7,45,30400.0,32200.0
97,2016-11-14,29800,2016,11,14,46,30200.0,30400.0
98,2016-11-21,33500,2016,11,21,47,29800.0,30200.0
99,2016-11-28,33500,2016,11,28,48,33500.0,29800.0
100,2016-12-05,33500,2016,12,5,49,33500.0,33500.0
101,2016-12-12,33500,2016,12,12,50,33500.0,33500.0
102,2016-12-19,33000,2016,12,19,51,33500.0,33500.0
103,2016-12-26,32500,2016,12,26,52,33000.0,33500.0
104,2017-01-02,33750,2017,1,2,1,32500.0,33000.0
105,2017-01-09,33750,2017,1,9,2,33750.0,32500.0
106,2017-01-16,33750,2017,1,16,3,33750.0,33750.0
107,2017-01-23,33750,2017,1,23,4,33750.0,33750.0
108,2017-01-30,33000,2017,1,30,5,33750.0,33750.0
109,2017-02-06,32600,2017,2,6,6,33000.0,33750.0
110,2017-02-13,32000,2017,2,13,7,32600.0,33000.0
111,2017-02-20,31300,2017,2,20,8,32000.0,32600.0
112,2017-02-27,30300,2017,2,27,9,31300.0,32000.0
113,2017-03-06,30500,2017,3,6,10,30300.0,31300.0
114,2017-03-13,30700,2017,3,13,11,30500.0,30300.0
115,2017-03-20,30600,2017,3,20,12,30700.0,30500.0
116,2017-03-27,30400,2017,3,27,13,30600.0,30700.0
117,2017-04-03,29800,2017,4,3,14,30400.0,30600.0
118,2017-04-10,29500,2017,4,10,15,29800.0,30400.0
119,2017-04-17,28200,2017,4,17,16,29500.0,29800.0
120,2017-04-24,27500,2017,4,24,17,28200.0,29500.0
121,2017-05-01,26500,2017,5,1,18,27500.0,28200.0
122,2017-05-08,26300,2017,5,8,19,26500.0,27500.0
123,2017-05-15,26300,2017,5,15,20,26300.0,26500.0
124,2017-05-22,26200,2017,5,22,21,26300.0,26300.0
125,2017-05-29,26150,2017,5,29,22,26200.0,26300.0
126,2017-06-05,26150,2017,6,5,23,26150.0,26200.0
127,2017-06-12,26150,2017,6,12,24,26150.0,26150.0
128,2017-06-19,26350,2017,6,19,25,26150.0,26150.0
129,2017-06-26,26550,2017,6,26,26,26350.0,26150.0
130,2017-07-03,26650,2017,7,3,27,26550.0,26350.0
131,2017-07-10,28000,2017,7,10,28,26650.0,26550.0
132,2017-07-17,28800,2017,7,17,29,28000.0,26650.0
133,2017-07-24,29400,2017,7,24,30,28800.0,28000.0
134,2017-07-31,29400,2017,7,31,31,29400.0,28800.0
135,2017-08-07,30900,2017,8,7,32,29400.0,29400.0
136,2017-08-14,33900,2017,8,14,33,30900.0,29400.0
137,2017-08-21,35900,2017,8,21,34,33900.0,30900.0
138,2017-08-28,36800,2017,8,28,35,35900.0,33900.0
139,2017-09-04,38600,2017,9,4,36,36800.0,35900.0
140,2017-09-11,39600,2017,9,11,37,38600.0,36800.0
141,2017-09-18,38800,2017,9,18,38,39600.0,38600.0
142,2017-09-25,38800,2017,9,25,39,38800.0,39600.0
143,2017-10-02,37500,2017,10,2,40,38800.0,38800.0
144,2017-10-09,37000,2017,10,9,41,37500.0,38800.0
145,2017-10-16,35800,2017,10,16,42,37000.0,37500.0
146,2017-10-23,33800,2017,10,23,43,35800.0,37000.0
147,2017-10-30,31500,2017,10,30,44,33800.0,35800.0
148,2017-11-06,30000,2017,11,6,45,31500.0,33800.0
149,2017-11-13,32500,2017,11,13,46,30000.0,31500.0
150,2017-11-20,32500,2017,11,20,47,32500.0,30000.0
151,2017-11-27,32000,2017,11,27,48,32500.0,32500.0
152,2017-12-04,31500,2017,12,4,49,32000.0,32500.0
153,2017-12-11,31700,2017,12,11,50,31500.0,32000.0
154,2017-12-18,31800,2017,12,18,51,31700.0,31500.0
155,2017-12-25,34600,2017,12,25,52,31800.0,31700.0
156,2018-01-01,35600,2018,1,1,1,34600.0,31800.0
157,2018-01-08,35600,2018,1,8,2,35600.0,34600.0
158,2018-01-15,35600,2018,1,15,3,35600.0,35600.0
159,2018-01-22,35300,2018,1,22,4,35600.0,35600.0
160,2018-01-29,34500,2018,1,29,5,35300.0,35600.0
161,2018-02-05,33700,2018,2,5,6,34500.0,35300.0
162,2018-02-12,34000,2018,2,12,7,33700.0,34500.0
163,2018-02-19,33900,2018,2,19,8,34000.0,33700.0
164,2018-02-26,32700,2018,2,26,9,33900.0,34000.0
165,2018-03-05,32900,2018,3,5,10,32700.0,33900.0
166,2018-03-12,33300,2018,3,12,11,32900.0,32700.0
167,2018-03-19,33600,2018,3,19,12,33300.0,32900.0
168,2018-03-26,34800,2018,3,26,13,33600.0,33300.0
169,2018-04-02,36100,2018,4,2,14,34800.0,33600.0
170,2018-04-09,36100,2018,4,9,15,36100.0,34800.0
