iter	MAE
0	8323.152974
1	8282.123159
2	8240.772969
3	8200.546838
4	8161.142069
5	8123.408599
6	8086.755884
7	8051.239349
8	8013.649522
9	7981.436791
10	7946.288313
11	7910.022301
12	7874.658344
13	7842.678377
14	7807.689919
15	7775.283779
16	7750.268164
17	7717.585758
18	7685.432092
19	7656.569619
20	7626.232511
21	7599.21144
22	7573.086522
23	7546.555509
24	7519.354803
25	7488.654089
26	7462.483976
27	7434.546607
28	7405.337485
29	7380.425161
30	7351.624136
31	7327.191572
32	7299.172917
33	7275.024001
34	7248.754729
35	7226.19213
36	7204.833289
37	7183.235039
38	7157.787569
39	7136.803537
40	7116.003385
41	7090.262425
42	7066.860818
43	7049.239516
44	7032.303645
45	7014.852811
46	6995.158115
47	6974.587381
48	6954.050007
49	6938.573901
50	6923.057485
51	6900.504637
52	6882.657149
53	6863.983789
54	6844.860433
55	6819.471109
56	6800.791008
57	6774.988599
58	6758.723681
59	6733.33245
60	6713.874054
61	6696.084079
62	6678.639858
63	6654.397845
64	6643.73343
65	6622.655728
66	6599.836201
67	6576.933478
68	6564.849088
69	6542.368847
70	6529.026874
71	6509.893656
72	6488.854931
73	6455.131429
74	6416.846542
75	6405.783833
76	6391.370616
77	6364.342032
78	6356.447807
79	6338.247842
80	6316.75632
81	6294.975429
82	6261.771156
83	6253.672063
84	6239.874367
85	6218.788985
86	6196.257731
87	6188.533694
88	6166.24353
89	6146.095971
90	6112.642791
91	6079.32396
92	6071.172905
93	6039.903082
94	6012.049334
95	5987.387611
96	5956.651695
97	5947.644646
98	5935.550057
99	5917.987961
100	5912.307643
101	5890.841748
102	5859.956128
103	5821.971712
104	5808.319104
105	5782.611789
106	5766.37815
107	5759.424738
108	5739.030551
109	5702.452132
110	5668.156359
111	5652.517412
112	5637.056125
113	5603.152407
114	5587.896248
115	5574.921428
116	5540.389241
117	5507.618485
118	5496.0035
119	5466.773411
120	5452.450008
121	5419.9146
122	5385.029943
123	5354.897654
124	5339.778295
125	5333.870618
126	5318.606792
127	5303.942158
128	5274.225594
129	5239.661798
130	5219.599077
131	5186.535554
132	5155.421694
133	5127.649075
134	5108.166276
135	5084.178949
136	5063.520437
137	5032.3272
138	4998.260575
139	4965.575843
140	4936.751575
141	4909.415363
142	4881.72232
143	4852.779717
144	4824.350215
145	4796.218451
146	4769.656047
147	4744.489054
148	4717.286261
149	4690.965823
150	4669.445485
151	4644.493926
152	4616.522846
153	4594.126416
154	4568.423609
155	4543.124247
156	4517.890287
157	4492.808052
158	4476.762294
159	4452.366493
160	4428.382832
