iter	Passed	Remaining
0	6	67611
1	10	51327
2	15	50800
3	18	46986
4	23	46495
5	26	43621
6	29	42794
7	34	42466
8	38	42821
9	41	41385
10	43	39930
11	48	40411
12	52	40496
13	56	40188
14	58	39182
15	62	39256
16	66	39111
17	70	38992
18	73	38687
19	76	38251
20	80	38031
21	83	37919
22	86	37494
23	89	37023
24	94	37632
25	97	37395
26	101	37379
27	104	37086
28	108	37136
29	111	36966
30	114	36898
31	118	36978
32	121	36731
33	125	36830
34	128	36652
35	132	36758
36	136	36764
37	139	36618
38	142	36488
39	147	36655
40	151	36702
41	153	36448
42	156	36316
43	160	36245
44	164	36371
45	167	36223
46	170	36014
47	173	35933
48	177	36052
49	181	36131
50	184	36031
51	187	35850
52	190	35808
53	194	35914
54	197	35801
55	200	35627
56	203	35500
57	207	35522
58	211	35666
59	214	35583
60	217	35408
61	220	35276
62	240	37978
63	244	37985
64	247	37806
65	250	37636
66	253	37647
67	261	38245
68	266	38306
69	288	40957
70	292	40920
71	295	40776
72	298	40624
73	303	40670
74	307	40674
75	311	40694
76	314	40574
77	318	40574
78	323	40572
79	326	40493
80	330	40410
81	333	40312
82	337	40364
83	341	40299
84	344	40147
85	347	40018
86	350	39989
87	355	40029
88	358	39934
89	362	39889
90	368	40094
91	372	40089
92	375	40028
93	379	39941
94	383	40036
95	387	40026
96	390	39876
97	393	39745
98	396	39633
99	400	39639
100	403	39538
101	406	39399
102	408	39239
103	411	39150
104	415	39177
105	418	39095
106	421	38983
107	424	38848
108	427	38781
109	431	38818
110	434	38743
111	437	38620
112	440	38504
113	443	38466
114	448	38556
115	451	38458
116	454	38350
117	456	38230
118	460	38243
119	465	38290
120	467	38204
121	470	38084
122	473	38021
123	478	38071
124	481	38045
125	484	37972
126	487	37883
127	490	37841
128	495	37895
129	498	37858
130	501	37769
131	503	37672
132	508	37758
133	512	37720
134	515	37650
135	517	37555
136	522	37627
137	527	37685
138	530	37611
139	532	37531
140	535	37457
141	540	37512
142	544	37526
143	547	37457
144	549	37372
145	554	37444
146	560	37558
147	563	37510
148	567	37552
149	581	38198
150	584	38124
151	589	38209
152	593	38190
153	596	38117
154	598	38043
155	603	38094
156	606	38048
157	610	38032
158	613	37952
159	615	37881
160	620	37923
161	623	37876
162	626	37818
163	629	37741
164	632	37730
165	637	37743
166	640	37711
167	643	37635
168	645	37565
169	649	37559
170	653	37582
171	656	37526
172	659	37444
173	661	37373
174	665	37386
175	670	37407
176	673	37361
177	675	37292
178	678	37236
179	682	37218
180	685	37207
181	688	37141
182	690	37059
183	693	36980
184	697	37007
185	701	36987
186	704	36963
187	707	36919
188	712	36970
189	717	37033
190	721	37029
191	723	36969
192	727	36975
193	730	36941
194	733	36903
195	736	36864
196	739	36820
197	744	36855
198	747	36816
199	751	36810
200	754	36804
201	760	36882
202	765	36937
203	768	36918
204	773	36954
205	777	36955
206	781	36994
207	785	36973
208	789	37007
209	793	37006
210	797	36998
211	801	37022
212	806	37071
213	809	37034
214	813	37019
215	816	36963
216	819	36950
217	823	36933
218	826	36923
219	830	36913
220	832	36850
221	835	36807
222	840	36828
223	844	36847
224	846	36796
225	849	36755
226	853	36761
227	856	36714
228	860	36729
229	863	36678
230	866	36640
231	869	36623
232	872	36568
233	876	36570
234	878	36519
235	881	36484
236	885	36492
237	888	36445
238	892	36451
239	895	36402
240	899	36439
241	902	36399
242	906	36395
243	909	36370
244	912	36318
245	917	36359
246	920	36339
247	924	36352
248	927	36304
249	931	36343
250	934	36308
251	938	36312
252	942	36292
253	945	36296
254	948	36263
255	953	36285
256	957	36301
257	961	36324
258	966	36331
259	969	36323
260	972	36285
261	976	36293
262	979	36267
263	982	36241
264	986	36231
265	988	36185
266	992	36179
267	994	36122
268	996	36062
269	999	36009
270	1002	35976
271	1004	35920
272	1007	35912
273	1010	35885
274	1014	35862
275	1028	36238
276	1031	36210
277	1034	36193
278	1037	36157
279	1041	36139
280	1043	36096
281	1046	36068
282	1050	36077
283	1053	36056
284	1057	36062
285	1060	36030
286	1063	35988
287	1066	35968
288	1070	35970
289	1074	35961
290	1076	35918
291	1079	35881
292	1083	35890
293	1087	35911
294	1090	35889
295	1094	35877
296	1098	35873
297	1102	35879
298	1105	35881
299	1108	35850
300	1111	35816
301	1115	35810
302	1118	35809
303	1121	35765
304	1124	35748
305	1127	35717
306	1146	36185
307	1149	36185
308	1153	36174
309	1156	36140
310	1158	36098
311	1162	36101
312	1166	36088
313	1169	36060
314	1172	36036
315	1175	36018
316	1179	36036
317	1182	36000
318	1184	35960
319	1187	35912
320	1189	35867
321	1192	35833
322	1195	35822
323	1197	35776
324	1200	35730
325	1202	35684
326	1204	35643
327	1207	35605
328	1211	35604
329	1214	35593
330	1218	35582
331	1220	35546
332	1224	35542
333	1229	35567
334	1231	35540
335	1234	35509
336	1237	35482
337	1241	35503
338	1245	35498
339	1248	35484
340	1251	35449
341	1254	35414
342	1258	35443
343	1262	35442
344	1265	35419
345	1268	35383
346	1271	35378
347	1275	35389
348	1279	35375
349	1281	35346
350	1284	35308
351	1286	35273
352	1291	35288
353	1294	35277
354	1297	35243
355	1299	35211
356	1302	35193
357	1307	35213
358	1310	35199
359	1313	35167
360	1315	35131
361	1320	35157
362	1324	35169
363	1327	35144
364	1330	35112
365	1332	35086
366	1337	35117
367	1341	35122
368	1344	35090
369	1346	35057
370	1350	35040
371	1355	35078
372	1359	35084
